tabled_Salgsform,tabled_Forrige pris,id,price,title,place,tabled_Antall dører,tabled_CO2 utslipp,tabled_Interiørfarge,tabled_Hjuldrift,tabled_Pris eks omreg,tabled_Avgiftsklasse,tabled_Antall eiere,tabled_Hjuldriftnavn,tabled_Str. lasterom,tabled_Drivstoff,tabled_Antall seter,tabled_Km.stand,tabled_Årsmodell,tabled_Sylindervolum,tabled_Farge,tabled_Effekt,tabled_Karosseri,tabled_Innskudd,tabled_Omregistrering,tabled_Vekt,tabled_Bilen står i,tabled_Årsavgift,tabled_1. gang registrert,tabled_Girkasse,tabled_Reg.nr.,tabled_Fargebeskrivelse
,,98543643,22569,Volkswagen Bora,5006 Bergen,,,,,"21 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98672583,59900,Audi A3,5226 Nesttun,,,,,,,,,,,,,,,,,,,Fritatt,,,Inklusiv,,,,
,,98667376,130000,Chevrolet,7120 Leksvik,,,,,,,,,,,,,,,,,,,Fritatt,,,Inklusiv,,,,
,,98644575,28569,Audi A6,0952 Oslo,,,,,"27 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98671056,22569,Peugeot 307,2818 Gjøvik,,,,,"21 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,94669624,134614,Toyota Yaris,4319 Sandnes,,,,,"132 000,-",,,,,,,,,,,,,,"2 614,-",,,Ikke inklusiv,,,,
,,98671373,41046,Toyota HiAce,3736 Skien,,,,,"40 000,-",,,,,,,,,,,,,,"1 046,-",,,Ikke inklusiv,,,,
Leasing,,98672290,4500,Volkswagen Golf,7320 Fannrem,5,37 g/km,,Forhjulsdrift,,Personbil,1,,,Elektrisitet+bensin,5,20 500 km,2015,"1,4 l",Grå,204 Hk,Kombi 5-dørs,,,1 524 kg,Norge,,01.07.2015,Automat,,
,,98670771,89999,Toyota RAV4,4580 Lyngdal,,,,,"86 339,-",,,,,,,,,,,,,,"3 660,-",,,Inklusiv,,,,
,,98665417,11569,Audi A6,2750 Gran,,,,,"10 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98672824,369000,BMW 3-serie,1540 Vestby,,,,,"362 936,-",,,,,,,,,,,,,,"6 064,-",,,Ikke inklusiv,,,,
,,98667775,394064,Toyota RAV4,7320 Fannrem,,,,,"388 000,-",,,,,,,,,,,,,,"6 064,-",,,Inklusiv,,,,
,,98671219,26569,Volkswagen Golf,3946 Porsgrunn,,,,,"25 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98670691,36046,Toyota HiAce,3690 Hjartdal,,,,,"35 000,-",,,,,,,,,,,,,,"1 046,-",,,Inklusiv,,,,
,,98666034,23569,Ford Focus,6200 Stranda,,,,,"22 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98652687,233660,Nissan Qashqai +2,4023 Stavanger,,,,,"230 000,-",,,,,,,,,,,,,,"3 660,-",,,Ikke inklusiv,,,,
,,98670759,101569,Volvo,3624 Lyngdal,,,,,"100 000,-",,,,,,,,,,,,,,"1 569,-",,,Inklusiv,,,,
,,98667604,1790000,Porsche 911,4306 Sandnes,,,,,,,,,,,,,,,,,,,Fritatt,,,Ikke inklusiv,,,,
