tabled_Årsmodell,tabled_Sylindervolum,tabled_Farge,tabled_Effekt,tabled_Karosseri,tabled_Omregistrering,tabled_Innskudd,tabled_Bilen står i,tabled_Salgsform,tabled_Forrige pris,tabled_Avgiftsklasse,tabled_Antall eiere,id,tabled_Vekt,price,title,place,tabled_Årsavgift,tabled_CO2 utslipp,tabled_1. gang registrert,tabled_Hjuldrift,tabled_Pris eks omreg,tabled_Hjuldriftnavn,tabled_Interiørfarge,tabled_Antall dører,tabled_Str. lasterom,tabled_Drivstoff,tabled_Reg.nr.,tabled_Girkasse,tabled_Antall seter,tabled_Fargebeskrivelse,tabled_Km.stand
,,,,,Fritatt,,,,,,,98672583,,59900,Audi A3,5226 Nesttun,Inklusiv,,,,,,,,,,,,,,
,,,,,Fritatt,,,,,,,98667376,,130000,Chevrolet,7120 Leksvik,Inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98644575,,28569,Audi A6,0952 Oslo,Inklusiv,,,,27000,,,,,,,,,,
,,,,,1569,,,,,,,98671056,,22569,Peugeot 307,2818 Gjøvik,Inklusiv,,,,21000,,,,,,,,,,
,,,,,2614,,,,,,,94669624,,134614,Toyota Yaris,4319 Sandnes,Ikke inklusiv,,,,132000,,,,,,,,,,
,,,,,1046,,,,,,,98671373,,41046,Toyota HiAce,3736 Skien,Ikke inklusiv,,,,40000,,,,,,,,,,
2015,"1,4 l",Grå,204 Hk,Kombi 5-dørs,,,Norge,Leasing,,Personbil,1,98672290,1 524 kg,4500,Volkswagen Golf,7320 Fannrem,,37 g/km,01.07.2015,Forhjulsdrift,,,,5,,Elektrisitet+bensin,,Automat,5,,20 500 km
,,,,,3660,,,,,,,98670771,,89999,Toyota RAV4,4580 Lyngdal,Inklusiv,,,,86339,,,,,,,,,,
,,,,,1569,,,,,,,98665417,,11569,Audi A6,2750 Gran,Inklusiv,,,,10000,,,,,,,,,,
,,,,,6064,,,,,,,98672824,,369000,BMW 3-serie,1540 Vestby,Ikke inklusiv,,,,362936,,,,,,,,,,
,,,,,6064,,,,,,,98667775,,394064,Toyota RAV4,7320 Fannrem,Inklusiv,,,,388000,,,,,,,,,,
,,,,,1569,,,,,,,98671219,,26569,Volkswagen Golf,3946 Porsgrunn,Inklusiv,,,,25000,,,,,,,,,,
,,,,,1046,,,,,,,98670691,,36046,Toyota HiAce,3690 Hjartdal,Inklusiv,,,,35000,,,,,,,,,,
,,,,,1569,,,,,,,98666034,,23569,Ford Focus,6200 Stranda,Inklusiv,,,,22000,,,,,,,,,,
,,,,,3660,,,,,,,98652687,,233660,Nissan Qashqai +2,4023 Stavanger,Ikke inklusiv,,,,230000,,,,,,,,,,
,,,,,1569,,,,,,,98670759,,101569,Volvo,3624 Lyngdal,Inklusiv,,,,100000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98667604,,1790000,Porsche 911,4306 Sandnes,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,2614,,,,,,,98670246,,89900,Kia Picanto,3267 Larvik,Inklusiv,,,,87286,,,,,,,,,,
,,,,,1569,,,,,,,96297239,,29569,Volkswagen Passat,3914 Porsgrunn,Inklusiv,,,,28000,,,,,,,,,,
,,,,,1200,,,,,,,98671965,,26200,Opel Vivaro,4633 Kristiansand,Inklusiv,,,,25000,,,,,,,,,,
,,,,,1569,,,,,,,98671027,,41569,BMW 5-serie,5222 Nesttun,Inklusiv,,,,40000,,,,,,,,,,
,,,,,2614,,,,,,,98665865,,87614,Kia Picanto,5114 Tertnes,Inklusiv,,,,85000,,,,,,,,,,
,,,,,Fritatt,,,,,,,88259558,,17000,Audi A6,4633 Kristiansand,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,1987,,,,,,,93825701,,398500,Ford Ranger,1621 Gressvik,Inklusiv,,,,396513,,,,,,,,,,
,,,,,1569,,,,,,,98670923,,38569,Land Rover Freelander,5082 Bergen,Inklusiv,,,,37000,,,,,,,,,,
,,,,,3660,,,,,,,98662401,,378660,BMW X5,0286 Oslo,Ikke inklusiv,,,,375000,,,,,,,,,,
,,,,,3588,,,,,,,75943053,,170000,BMW 3-serie,6014 Ålesund,Inklusiv,,,,166412,,,,,,,,,,
,,,,,2614,,,,,,,97598609,,29614,Opel Corsa,4050 Sola,Inklusiv,,,,27000,,,,,,,,,,
,,,,,3660,,,,,,,95998608,,219000,Ford S-MAX,7012 Trondheim,Inklusiv,,,,215340,,,,,,,,,,
,,,,,1569,,,,,,,94162840,,65000,Audi A8,3430 Spikkestad,Inklusiv,,,,63431,,,,,,,,,,
,,,,,1569,,,,,,,98669065,,21569,Volvo S60,1912 Enebakk,Inklusiv,,,,20000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98669936,,45000,Volvo 144,2625 Fåberg,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,3660,,,,,,,98668278,,58660,Ford Focus,8850 Herøy,Inklusiv,,,,55000,,,,,,,,,,
,,,,,1569,,,,,,,98652294,,23990,Skoda Fabia,0368 Oslo,Inklusiv,,,,22421,,,,,,,,,,
,,,,,1255,,,,,,,98669263,,106255,Nissan Navara,5563 Førresfjorden,Inklusiv,,,,105000,,,,,,,,,,
,,,,,3973,,,,,,,98667923,,252973,BMW i3,1284 Oslo,Ikke inklusiv,,,,249000,,,,,,,,,,
,,,,,3660,,,,,,,98668007,,22660,Renault Scenic,3050 Mjøndalen,Inklusiv,,,,19000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98668295,,335000,Toyota HiLux,1642 Saltnes,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,5945,,,,,,,83511215,,595945,BMW 4-serie,7800 Namsos,Inklusiv,,,,590000,,,,,,,,,,
,,,,,3660,,,,,,,98666841,,201000,Volkswagen Beetle,1525 Moss,Inklusiv,,,,197340,,,,,,,,,,
,,,,,3660,,,,,,,97337756,,183560,Nissan Qashqai,8643 Bjerka,Inklusiv,,,,179900,,,,,,,,,,
,,,,,3660,,,,,,,98668159,,28660,Ssangyong Rodius,7820 Spillum,Inklusiv,,,,25000,,,,,,,,,,
,,,,,3895,,,,,,,70398559,,159895,Citroen DS3,7079 Flatåsen,Inklusiv,,,,156000,,,,,,,,,,
,,,,,1987,,,,,,,87188721,,392000,Volkswagen Amarok,5178 Loddefjord,Inklusiv,,,,390013,,,,,,,,,,
,,,,,Fritatt,,,,,,,98668030,,69000,Citroen Jumpy,3629 Nore,Inklusiv,,,,,,,,,,,,,,
,,,,,1,,,,,,,98668831,,55001,Opel Corsa,1407 Vinterbro,Ikke inklusiv,,,,55000,,,,,,,,,,
,,,,,3660,,,,,,,97506388,,429900,BMW 5-serie,8800 Sandnessjøen,Inklusiv,,,,426240,,,,,,,,,,
,,,,,3660,,,,,,,98667130,,585000,BMW M3,4327 Sandnes,Inklusiv,,,,581340,,,,,,,,,,
,,,,,1569,,,,,,,98666066,,71569,Ford Excursion,1798 Aremark,Inklusiv,,,,70000,,,,,,,,,,
,,,,,3660,,,,,,,98667310,,563660,BMW X5,1940 Bjørkelangen,Ikke inklusiv,,,,560000,,,,,,,,,,
,,,,,4074,,,,,,,98555207,,113074,Toyota Prius,1613 Fredrikstad,Inklusiv,,,,109000,,,,,,,,,,
,,,,,1948,,,,,,,84176469,,428000,Volkswagen Transporter,3124 Tønsberg,Inklusiv,,,,426052,,,,,,,,,,
,,,,,2614,,,,,,,98635631,,82614,Opel Tigra,5225 Nesttun,Inklusiv,,,,80000,,,,,,,,,,
,,,,,1569,,,,,,,98667627,,20469,Toyota Avensis,4355 Kvernaland,Ikke inklusiv,,,,18900,,,,,,,,,,
,,,,,2614,,,,,,,98668177,,57614,Toyota Yaris,5357 Fjell,Inklusiv,,,,55000,,,,,,,,,,
,,,,,1046,,,,,,,94477854,,166046,Chevrolet Silverado,6230 Sykkylven,Inklusiv,,,,165000,,,,,,,,,,
,,,,,3660,,,,,,,98602625,,118660,Opel Insignia,1415 Oppegård,Ikke inklusiv,,,,115000,,,,,,,,,,
,,,,,1046,,,,,,,98668144,,86046,Toyota HiAce,1348 Rykkinn,Inklusiv,,,,85000,,,,,,,,,,
,,,,,1500,,,,,,,68278271,,26500,Toyota Corolla,1357 Bekkestua,Inklusiv,,,,25000,,,,,,,,,,
,,,,,6064,,,,,,,97796982,,206998,Mercedes-Benz B-Klasse,0674 Oslo,Inklusiv,,,,200934,,,,,,,,,,
,,,,,1046,,,,,,,98667422,,31046,Toyota HiLux,6511 Kristiansund,Ikke inklusiv,,,,30000,,,,,,,,,,
,,,,,2614,,,,,,,94432594,,58000,Kia Rio,3178 Våle,Ikke inklusiv,,,,55386,,,,,,,,,,
,,,,,1569,,,,,,,86839353,,99569,Audi A6,5918 Frekhaug,Inklusiv,,,,98000,,,,,,,,,,
,,,,,Fritatt,,,,,,,98667570,,25000,Land Rover,2670 Otta,Inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98665922,,41569,Suzuki XL7,7049 Trondheim,Ikke inklusiv,,,,40000,,,,,,,,,,
,,,,,3660,,,,,,,98664438,,81660,Volvo V70,3160 Stokke,Inklusiv,,,,78000,,,,,,,,,,
,,,,,3660,,,,,,,98665574,,232660,BMW 5-serie,4346 Bryne,Ikke inklusiv,,,,229000,,,,,,,,,,
,,,,,3660,,,,,,,89859155,,143660,Honda Accord,4150 Rennesøy,Inklusiv,,,,140000,,,,,,,,,,
,,,,,1255,,,,,,,98667134,,90255,Mercedes-Benz Vito,7725 Steinkjer,Inklusiv,,,,89000,,,,,,,,,,
,,,,,1569,,,,,,,98667089,,31568,Audi A4,4842 Arendal,Inklusiv,,,,29999,,,,,,,,,,
,,,,,6064,,,,,,,98668269,,205000,Volvo V40 Cross Country,5116 Ulset,Ikke inklusiv,,,,198936,,,,,,,,,,
,,,,,1987,,,,,,,98662661,,439987,Volkswagen Transporter,6440 Elnesvågen,Inklusiv,,,,438000,,,,,,,,,,
,,,,,3660,,,,,,,98667023,,163660,BMW 5-serie,1642 Saltnes,Ikke inklusiv,,,,160000,,,,,,,,,,
,,,,,1569,,,,,,,98666659,,21569,Audi A4,0592 Oslo,Inklusiv,,,,20000,,,,,,,,,,
,,,,,2614,,,,,,,96670342,,43614,Mitsubishi Colt,1351 Rud,Inklusiv,,,,41000,,,,,,,,,,
,,,,,1569,,,,,,,98510544,,16569,Opel Corsa,9900 Kirkenes,Inklusiv,,,,15000,,,,,,,,,,
,,,,,1569,,,,,,,98665180,,329000,Chevrolet Corvette,4639 Kristiansand,Inklusiv,,,,327431,,,,,,,,,,
,,,,,Fritatt,,,,,,,98667660,,229000,Volvo V40,5116 Ulset,Ikke inklusiv,,,,,,,,,,,,,,
,,,,,1569,,,,,,,98624666,,39569,Nissan X-Trail,4355 Kvernaland,Inklusiv,,,,38000,,,,,,,,,,
,,,,,3660,,,,,,,98661296,,158660,Volkswagen Golf,2436 Våler,Inklusiv,,,,155000,,,,,,,,,,
,,,,,3660,,,,,,,83303525,,178660,Volvo V40,4250 Kopervik,Inklusiv,,,,175000,,,,,,,,,,
,,,,,3660,,,,,,,95533828,,63660,Mercedes-Benz C-Klasse,3170 Sem,Inklusiv,,,,60000,,,,,,,,,,
,,,,,1255,,,,,,,98656757,,89255,Toyota HiAce,7055 Ranheim,Ikke inklusiv,,,,88000,,,,,,,,,,
,,,,,3660,,,,,,,98666162,,163660,Audi A4,0488 Oslo,Ikke inklusiv,,,,160000,,,,,,,,,,
,,,,,3660,,,,,,,98666765,,89900,Mazda 6,7047 Trondheim,Inklusiv,,,,86240,,,,,,,,,,
,,,,,1255,,,,,,,98503849,,46255,Citroen Berlingo,5221 Nesttun,Inklusiv,,,,45000,,,,,,,,,,
,,,,,2563,,,,,,,86844364,,140000,Volvo V70,0756 Oslo,Inklusiv,,,,137437,,,,,,,,,,
